LGA,speaks_english_only,pop
Norwood Payneham and St Peters,26290,37487
Onkaparinga,155870,175204
Orroroo Carrieton,784,874
Peterborough,1395,1638
Playford,78212,99190
Port Adelaide Enfield,79095,132400
Port Augusta,11202,13829
Port Lincoln,12821,14404
Port Pirie,15527,17282
Prospect,15298,22272
Renmark Paringa,7804,9783
Robe,1412,1542
Roxby Downs,3170,3976
Salisbury,91663,145806
Southern Mallee,1648,1979
Streaky Bay,1953,2165
Tatiara,5774,6891
Tea Tree Gully,83214,101174
Coorong,4734,5463
Tumby Bay,2602,2817
Unley,30220,38641
Victor Harbor,14965,16139
Wakefield,6137,6780
Walkerville,5868,8023
Wattle Range,10740,11888
West Torrens,40510,61699
Whyalla,18491,21244
Wudinna,1013,1136
Yankalilla,5391,5834
Yorke Peninsula,10500,11598
Unincorporated SA,2124,3006
No usual address (SA),2261,3377
Migratory - Offshore - Shipping (SA),0,12
Albany,34040,38763
Armadale,66921,94184
Ashburton,5167,7391
Augusta Margaret River,14155,16791
Bassendean,12856,15932
Bayswater,47267,69283
Belmont,26130,42257
Beverley,1442,1694
Boddington,1475,1705
Boyup Brook,1598,1834
Bridgetown-Greenbushes,4675,5238
Brookton,785,929
Broome,12426,16959
Broomehill-Tambellup,892,1046
Bruce Rock,795,979
Bunbury,27619,32987
Busselton,36188,40640
Cambridge,23810,28876
Canning,50748,95860
Capel,15709,18175
Carnamah,442,552
Carnarvon,3674,5251
Chapman Valley,1306,1556
Chittering,5208,5930
Christmas Island,495,1692
Claremont,9326,11284
Cockburn,87418,118091
Cocos Islands,113,593
Collie,7873,8812
Coolgardie,2503,3478
Coorow,895,1055
Corrigin,916,1007
Cottesloe,7113,7970
Cranbrook,936,1100
Cuballing,803,902
Cue,174,215
Cunderdin,1124,1302
Dalwallinu,1036,1379
Dandaragan,2885,3355
Dardanup,12934,14686
Denmark,5481,6310
Derby-West Kimberley,3128,7075
Donnybrook-Balingup,5482,6155
Dowerin,637,715
Dumbleyung,546,681
Dundas,498,677
East Fremantle,6902,7819
East Pilbara,5386,9760
Esperance,11815,13883
Exmouth,2584,3085
Fremantle,25861,31930
Gingin,4615,5576
Gnowangerup,1026,1215
Goomalling,833,955
Gosnells,73536,126376
Greater Geraldton,32606,39489
Halls Creek,1440,3574
Harvey,24905,28567
Irwin,3207,3680
Jerramungup,1009,1160
Joondalup,137864,160003
Kalamunda,48865,58762
Kalgoorlie-Boulder,22298,29306
Karratha,15589,22199
Katanning,2839,4057
Kellerberrin,964,1138
Kent,420,491
Kojonup,1644,1901
Kondinin,705,847
Koorda,349,361
Kulin,670,769
Kwinana,32453,45867
Lake Grace,1105,1265
Laverton,631,1333
Leonora,902,1588
Mandurah,78773,90306
Manjimup,7854,9093
Meekatharra,731,1200
Melville,78738,103523
Menzies,278,524
Merredin,2603,3119
Mingenew,343,407
Moora,1931,2292
Morawa,508,660
Mosman Park,7397,9169
Mount Magnet,304,653
Mount Marshall,409,459
Mukinbudin,501,579
Mundaring,33392,39166
Murchison,83,101
Murray,16182,18068
Nannup,1294,1538
Narembeen,624,787
Narrogin,3848,4779
Nedlands,18036,22132
Ngaanyatjarraku,135,1358
Northam,9341,11358
Northampton,2708,3227
Nungarin,190,255
Peppermint Grove,1377,1597
Perenjori,405,629
Perth,14938,28463
Pingelly,931,1037
Plantagenet,4425,5388
Port Hedland,10907,15684
Quairading,685,961
Ravensthorpe,1752,2085
Rockingham,116738,135678
Sandstone,67,109
Serpentine-Jarrahdale,26899,32173
Shark Bay,763,1031
South Perth,32305,43405
Stirling,153013,226369
Subiaco,13411,17267
Swan,109433,152974
Tammin,327,386
Three Springs,467,575
Toodyay,3932,4601
Trayning,251,298
Upper Gascoyne,133,170
Victoria Park,25273,36889
Victoria Plains,679,802
Vincent,27361,36537
Wagin,1502,1761
Wandering,428,535
Wanneroo,156289,209111
Waroona,3645,4234
West Arthur,664,773
Westonia,213,248
Wickepin,571,690
Williams,873,1021
Wiluna,223,535
Wongan-Ballidu,1150,1297
Woodanilling,387,448
Wyalkatchem,406,470
Wyndham-East Kimberley,5252,7477
Yalgoo,173,340
Yilgarn,878,1173
York,3069,3459
No usual address (WA),4079,8055
Migratory - Offshore - Shipping (WA),232,514
Break O'Day,6108,6770
Brighton,17299,18995
Burnie,17974,19918
Central Coast (Tas.),21032,22760
Central Highlands (Tas.),2218,2520
Circular Head,7095,8117
Clarence,53422,61531
Derwent Valley,9999,10942
Devonport,23499,26150
Dorset,6187,6829
Flinders (Tas.),831,922
George Town,6431,7033
Glamorgan-Spring Bay,4322,5012
Glenorchy,38432,50411
Hobart,41311,55077
Huon Valley,16314,18259
Kentish,5812,6603
King Island,1352,1617
Kingborough,34450,40082
Latrobe (Tas.),11353,12420
Launceston,58910,70055
Meander Valley,18946,20709
Northern Midlands,12697,13745
Sorell,15123,16734
Southern Midlands,6055,6662
